No,Busstop name,Street,公交车站站名,街道名
21699,Jurong Fire Stn,Boon Lay Way,裕廊消防站车站,文礼大道
21691,Opp Jurong Fire Stn,Boon Lay Way,裕廊消防站对面,文礼大道
28369,Opp Jurong Lake,Boon Lay Way,裕廊河对面,文礼大道
28361,Jurong Lake,Boon Lay Way,裕廊河,文礼大道
28061,Jurong East Stn/Int,Boon Lay Way,裕廊东车站/转换站,文礼大道
28051,Aft Jurong East St 11,Boon Lay Way,裕廊东11道之后,文礼大道
28349,Opp Chinese Gdn Stn,Boon Lay Way,裕华园车站对面,文礼大道
28341,Chinese Gdn Stn,Boon Lay Way,裕华园车站,文礼大道
1619,Opp Raffles Hotel,Beach Rd,莱佛士酒店对面,美芝路
1611,Raffles Hotel,Beach Rd,莱佛士酒店,美芝路
2049,Raffles Hotel,Bras Basah Rd,莱佛士酒店,勿拉士？路
53219,Raffles Inst,Bishan Rd,莱佛士坊Inst,碧山路
53211,Opp Raffles Inst,Bishan Rd,莱佛士Inst对面,碧山路
53309,Opp Raffles Inst,Bishan St 21,莱佛士Inst对面,碧山21街
53301,Raffles Inst,Bishan St 21,莱佛士Inst,碧山21街
47079,Opp British American Tobacco,Admiralty Rd West,英美烟草对面,海军部西路
47071,Bef British American Tobacco,Admiralty Rd West,英美烟草之后,海军部西路
54219,Opp Mayflower Sec Sch,Ang Mo Kio Ave 3,花朵中学对面,宏茂桥3道
54211,Mayflower Sec Sch,Ang Mo Kio Ave 3,花朵中学,宏茂桥3道
28099,Opp Lakeside Stn,Boon Lay Way,胡伴车站对面,文礼大道
47039,Aft View Rd,Admiralty Rd West,美景路之后,海军部西路
18059,Opp one-north Stn,Ayer Rajah Ave,纬壹车站对面,亚逸拉惹道
18051,one-north Stn,Ayer Rajah Ave,纬壹车站,亚逸拉惹道
95051,3rd Cargo Agents,Airline Rd,第三个货梯,航空公司路
21399,Opp River Valley High Sch,Boon Lay Ave,立化中学对面,文礼道
21391,River Valley High Sch,Boon Lay Ave,立化中学,文礼道
73049,Air Force Sch,Airport Rd,空军学校,机场路
71041,Opp Air Force Museum,Airport Rd,空军博物馆对面,机场路
71049,Air Force Museum,Airport Rd,空军博物馆,机场路
18131,Science Pk,AYE,科学公园,亚逸拉惹高速公路
53009,Bishan Int,Bishan St 13,碧山转换站,碧山13街
53239,Opp Bishan Stn,Bishan Rd,碧山车站对面,碧山路
53231,Bishan Stn,Bishan Rd,碧山车站,碧山路
52019,Aft Bishan Rd,Braddell Rd,碧山路之后,布莱德路
52011,Bef Bishan Rd,Braddell Rd,碧山路之前,布莱德路
54539,Bishan Pk,Bishan Rd,碧山公园,碧山路
53261,Opp Bishan Stadium,Bishan St 14,碧山体育场对面,碧山14街
53269,Bishan Stadium,Bishan St 14,碧山体育场,碧山14街
53389,Opp Bishan Nth Shop Mall,Bishan St 22,碧山东商场对面,碧山22街
53381,Bishan Nth Shop Mall,Bishan St 22,碧山东商场,碧山22街
58201,Bef Prison Trg Sch,Admiralty Rd East,监狱官员训练学校之前,海军部东路
46121,Opp Hawker Ctr,Admiralty Rd,熟食中心对面,海军部路
46129,Hawker Ctr,Admiralty Rd,熟食中心,海军部路
3509,Marina Bay Sands Hotel,Bayfront Ave,滨海湾金沙酒店,海湾道
3501,Marina Bay Sands Theatre,Bayfront Ave,滨海湾金沙剧场,海湾道
3511,Marina Bay Sands MICE,Bayfront Ave,滨海湾金沙MICE,海湾道
3519,Opp Marina Bay Sands MICE,Bayfront Ave,滨海湾沙MICE对面,海湾道
28091,Lakeside Stn,Boon Lay Way,湖绊车站,文礼大道
75349,The Clearwater Condo,Bedok Reservoir Rd,清洁水Condo,勿洛水池路
75341,Opp The Clearwater Condo,Bedok Reservoir Rd,清洁Condo对面,勿洛水池路
66459,Aft Seagate,Ang Mo Kio Ave 5,海门之后,宏茂桥5道
66461,Bef Seagate,Ang Mo Kio Ave 5,海门之前,宏茂桥5道
46139,Aft Riverside Rd,Admiralty Rd,河傍路之后,海军部路
43561,Opp Bt Gombak Stadium,Bt Batok East Ave 5,武吉甘柏体育场对面,武吉巴督东5道
43569,Bt Gombak Stadium,Bt Batok East Ave 5,武吉甘柏体育场,武吉巴督东5道
43009,Bt Batok Int,Bt Batok Ctrl,武吉巴督转换站,武吉巴督中路
44179,Aft Bt Batok West Ave 5,Bt Batok Rd,武吉巴督西5道之后,武吉巴督路
44161,Aft Bt Batok West Ave 5,Bt Batok Rd,武吉巴督西5道之后,武吉巴督路
44169,Bef Bt Batok West Ave 5,Bt Batok Rd,武吉巴督西5道之前,武吉巴督路
43779,Aft Bt Batok West Ave 2,Bt Batok Rd,武吉巴督西2道之后,武吉巴督路
43519,Opp Bt Batok Swim Cplx,Bt Batok East Ave 6,武吉巴督游泳池对面,武吉巴督东6道
43511,Bt Batok Swim Cplx,Bt Batok East Ave 6,武吉巴督游泳池,武吉巴督东6道
44151,Opp Bt Batok Fire Stn,Bt Batok Rd,武吉巴督消防员车站对面,武吉巴督路
44159,Bt Batok Fire Stn,Bt Batok Rd,武吉巴督消防员,武吉巴督路
43391,Bt Batok CC,Bt Batok Ctrl,武吉巴督俱乐部,武吉巴督中路
43331,Opp Bt Batok Presby Ch,Bt Batok St 11,武吉巴督Presby 教会对面,武吉巴督11街
44171,Bef Bt Batok West Ave 5,Bt Batok Rd,武吉巴督5道之前,武吉巴督路
95011,Bef Changi Airport PTB3,Airport Blvd,樟宜机场PTB3 之前,机场林荫道
95019,Aft Changi Airport PTB2,Airport Blvd,樟宜机场PTB2 之后,机场林荫道
55509,Yio Chu Kang Int,Ang Mo Kio Ave 8,杨厝港转换站,宏茂桥8道
55181,Opp Yio Chu Kang Stn,Ang Mo Kio Ave 6,杨厝港车站对面,宏茂桥6道
55189,Yio Chu Kang Stn,Ang Mo Kio Ave 6,杨厝港车站,宏茂桥6道
66479,Aft Yio Chu Kang Rd,Ang Mo Kio Ave 5,杨厝港路之后,宏茂桥5道
66471,Bef Yio Chu Kang Rd,Ang Mo Kio Ave 5,杨厝港路之前,宏茂桥5道
55311,Opp Yio Chu Kang Stadium,Ang Mo Kio Ave 9,杨厝港体育场对面,宏茂桥9道
55319,Yio Chu Kang Stadium,Ang Mo Kio Ave 9,杨厝港体育场对面,宏茂桥9道
16091,Opp SIT Dover,AYE,杜弗SIT对面,亚逸拉惹高速公路
16099,SIT Dover,AYE,杜弗SIT,亚逸拉惹高速公路
95151,Airport Police Stn,Airport Blvd,机场警察局,机场林荫道
28089,Bef Yuhua CC,Boon Lay Way,月华俱乐部之前,文礼大道
8069,Rendezvous Hotel S'pore,Bras Basah Rd,新加坡酒店Rendezvous,勿拉士？路
18089,S'pore Post,Ayer Rajah Cres,新加坡邮局,亚逸拉惹弯
41129,Opp S'pore Bible College,Adam Rd,新加坡神学院对面,亚当路
41121,S'pore Bible College,Adam Rd,新加坡神学院,亚当路
54641,Sing Ind Cplx,Ang Mo Kio Ind Pk 2,新加坡工业园,宏茂桥第2工业园
50239,S'pore Indian Assn,Balestier Rd,新加坡印度Assn,马里士他路
23191,Opp S'pore Tpt Pte Ltd,Benoi Sector,新加坡Tpt Pte Ltd对面,费耐段
23199,S'pore Tpt Pte Ltd,Benoi Sector,新加坡Tpt Pte Ltd,费耐段
66081,Opp S'pore Power Trg Inst,Braddell Rd,新加坡Power Trg Inst对面,布莱德路
66089,S'pore Power Trg Inst,Braddell Rd,新加坡Power Trg Inst,布莱德路
50241,Opp S'pore Khalsa Assn,Balestier Rd,新加坡Khalsa Assn对面,马里士他路
50249,S'pore Khalsa Assn,Balestier Rd,新加坡Khalsa Assn,马里士他路
22571,Opp Boon Lay Stn,Boon Lay Way,文礼车站对面,文礼大道
21449,Boon Lay Shop Ctr,Boon Lay Pl,文礼商场,文礼坊
21439,Boon Lay CC,Boon Lay Pl,文礼俱乐部,文礼坊
28039,Aft Boon Lay Sub Stn,Boon Lay Way,文礼Sub车站之后,文礼大道
43671,Opp Dunearn Sec Sch,Bt Batok Rd,德能中学对面,武吉巴督路
51131,Opp Braddell View,Braddell Rd,布莱德View 对面,布莱德路
51139,Braddell View,Braddell Rd,布莱德View,布莱德路
66061,Aft Braddell Flyover,Braddell Rd,布莱德Flyover之后,布莱德路
66069,Bef Braddell Flyover,Braddell Rd,布莱德Flyover之前,布莱德路
71181,Opp Paya Lebar Air Base,Airport Rd,巴耶利巴空军基地对面,机场路
71011,Aft Paya Lebar Rd,Airport Rd,巴耶利峇路之后,机场路
71189,Paya Lebar Air Base,Airport Rd,巴耶利峇空军基地,机场路
62071,Opp Bartley Stn,Bartley Rd,巴特礼车站对面,巴特礼路
62079,Bartley Stn,Bartley Rd,巴特礼车站对面,巴特礼路
62081,Opp Bartley Chr Ch,Bartley Rd,巴特礼教会学校对面,巴特礼路
62091,Opp Bartley Terr,Bartley Rd,巴特礼Terr对面,巴特礼路
62089,Bartley Chr Ch,Bartley Rd,巴特利教会学校,巴特礼路
58209,Aft Pakistan Rd,Admiralty Rd East,巴基斯坦路之后,海军部东路
62101,Bef Upp S'goon Rd,Bartley Rd,实龙岗路对面,巴特礼路
66291,Opp S'goon Gdn Circus,Berwick Dr,实龙岗公园马戏团对面,百力通道
63149,S'goon Stadium,Boundary Rd,实龙岗体育场,曼德里路
11529,Bef IKEA Ind Bldg,Alexandra Rd,宜家Ind Bldg之前,亚历山大路
54009,Ang Mo Kio Int,Ang Mo Kio Ave 8,宏茂桥转换站,宏茂桥8道
54269,Opp Ang Mo Kio Stn,Ang Mo Kio Ave 3,宏茂桥车站对面,宏茂桥3道
54261,Ang Mo Kio Stn,Ang Mo Kio Ave 3,宏茂桥车站对面,宏茂桥3道
55309,Opp AMK Police Div HQ,Ang Mo Kio Ave 9,宏茂桥警察局HQ对面,宏茂桥9道
55301,AMK Police Div HQ,Ang Mo Kio Ave 9,宏茂桥警察Div HQ,宏茂桥9道
54089,Opp Ang Mo Kio Swim Cplx,Ang Mo Kio Ave 1,宏茂桥游泳池对面,宏茂桥1道
55211,Aft Ang Mo Kio Fire Stn,Ang Mo Kio St 62,宏茂桥消防局之后,宏茂桥62街
54221,Opp Ang Mo Kio Pr Sch,Ang Mo Kio Ave 3,宏茂桥小学对面,宏茂桥3道
54229,Ang Mo Kio Pr Sch,Ang Mo Kio Ave 3,宏茂桥小学,宏茂桥3道
54059,Bef Ang Mo Kio Lib,Ang Mo Kio Ave 6,宏茂桥图书馆之前,宏茂桥6道
55151,Ang Mo Kio Comm Hosp,Ang Mo Kio Ave 9,宏茂桥医院,宏茂桥9道
66451,Aft AMK Ind Pk 2,Ang Mo Kio Ave 5,宏茂桥公园2之后,宏茂桥5道
54501,Opp AMK Ind Pk 2,Ang Mo Kio Ave 5,宏茂桥Ind公园2对面,宏茂桥5道
55009,Ang Mo Kio Depot,Ang Mo Kio St 63,宏茂桥Depot,宏茂桥63街
54041,Opp Courts Ang Mo Kio,Ang Mo Kio Ave 6,宏茂桥Courts对面,宏茂桥6道
54049,Courts Ang Mo Kio,Ang Mo Kio Ave 6,宏茂桥Courts,宏茂桥6道
55159,Opp Ang Mo Kio Comm Hosp,Ang Mo Kio Ave 9,宏茂桥Comm 医院对面,宏茂桥9道
55219,Bef Ang Mo Kio Ave 9,Ang Mo Kio St 62,宏茂桥9道之前,宏茂桥62街
54051,Bef Ang Mo Kio Ave 5,Ang Mo Kio Ave 6,宏茂桥5道之前,宏茂桥6道
54101,Aft Ang Mo Kio Ave 10,Ang Mo Kio Ave 1,宏茂桥10道之后,宏茂桥1道
54109,Bef Ang Mo Kio Ave 10,Ang Mo Kio Ave 1,宏茂桥10道之前,宏茂桥1道
92249,Opp Amber Gdn,Amber Rd,安珀公园对面,安珀路
92241,Amber Gdn,Amber Rd,安珀公园,安珀路
58191,Aft Wellington Rd,Admiralty Rd East,威灵顿路之后,海军部东路
11519,Opp Queensway Shop Ctr,Alexandra Rd,女皇路商场对面,亚历山大路
58199,Opp Auckland Rd,Admiralty Rd East,奥克兰路对面,海军部东路
40219,Bef Met YMCA,Stevens Rd,大牌YMCA对面,史蒂芬路
40211,Opp Met YMCA,Stevens Rd,大牌YMCA对面,史蒂芬路
59709,Bef SAFRA Yishun,Yishun Ctrl,大牌Yishun对面,义顺中路
59701,Opp SAFRA Yishun,Yishun Ctrl,大牌Yishun对面,义顺中路
67111,St. Anne's Wood,Sengkang East Way,大牌Wood对面,盛港东大道
27101,Westville,Jln Bahar,大牌Westville,惹兰？哈
16049,Westvale,Pasir Panjang Rd,大牌Westvale,巴西班让路
97141,Opp VICOM,Changi Nth St 1,大牌VICOM,樟宜北1街
97149,Aft VICOM,Changi Nth St 1,大牌VICOM,樟宜北1街
23149,Varco,Sixth Lok Yang Rd,大牌Varco,第6洛阳路
3031,Opp AIA Twr,Robinson Rd,大牌Twr对面,罗敏申路
68059,Aft TPE,Jln Kayu,大牌TPE,惹兰加由
68051,Bef TPE,Jln Kayu,大牌TPE,惹兰加由
77339,Aft TPE,Pasir Ris Dr 12,大牌TPE,巴西立通道12
65439,Aft TPE,Punggol Way,大牌TPE,榜鹅道
75351,Bef TPE,Tampines Ave 10,大牌TPE,淡滨尼10道
75359,Aft TPE,Tampines Ave 10,大牌TPE,淡滨尼10道
64191,Aft TPE,Tampines Rd,大牌TPE,淡滨尼路
64199,Bef TPE,Tampines Rd,大牌TPE,淡滨尼路
64181,Bef TPE,Tampines Rd,大牌TPE,淡滨尼路
95091,SAF Ferry Ter,Nicoll Dr,大牌Ter对面,尼浩通道
52499,St. Michael's Ter,Whampoa Rd,大牌Ter对面,黄埔路
66599,KLA Tencor,S'goon Nth Ave 5,大牌Tencor,实龙岗北5道
46389,Tech,Woodlands Ave 3,大牌Tech,兀兰3道
92201,Tandeville,Telok Kurau Rd,大牌Tandeville,直落古楼路
75051,Opp SAFRA Tampines,Tampines Ave 1,大牌Tampines对面,淡滨尼1道
75059,SAFRA Tampines,Tampines Ave 1,大牌Tampines,淡滨尼1道
21521,PB Packaging Systems,Chin Bee Ave,大牌Systems对面,振美道
24369,Dyna-Mac Engrg Svcs,Gul Rd,大牌Svcs对面,卡尔路
29121,ECS Freight Svcs,Tg Penjuru,大牌Svcs对面,丹戎本莱鲁
21121,SPC Svc Stn,Jln Buroh,大牌Stn对面,惹兰布罗
22419,Jurong West Sub-Stn,Jurong West Ave 4,大牌Stn对面,裕廊西4道
70259,Opp MacPherson Stn,Paya Lebar Rd,大牌Stn对面,巴耶利？路
18151,Opp one-north Stn,Portsdown Rd,大牌Stn对面,波斯南路
67011,TAS Receiving Stn,Yio Chu Kang Rd,大牌Stn对面,杨厝港路
26221,Opp YLS Steel,Tuas Sth Ave 9,大牌Steel对面,大士南9道
13109,UE Sq,River Valley Rd,大牌Sq,里？？利路
56059,Aft 3M S'pore,Upp Thomson Rd,大牌S'pore对面,汤申路上段
56051,Opp 3M S'pore,Upp Thomson Rd,大牌S'pore对面,汤申路上段
46161,GES S'pore,Marsiling Lane,大牌S'pore,马西岭巷
15181,PSB S'pore,Science Pk Dr,大牌S'pore,科学园通道
26161,3NC S'pore,Tuas Ave 11,大牌S'pore,大士11道
56029,JCU S'pore,Upp Thomson Rd,大牌S'pore,汤申路上段
1341,Southbank,Crawford St,大牌Southbank,哥罗福街
19029,Opp SP SMA,C'wealth Ave West,大牌SMA对面,联邦西道
26141,Smarty,Tuas Ave 11,大牌Smarty,大士11道
55281,Aft SLE,Lentor Ave,大牌SLE,伦多道
56091,Aft SLE,Upp Thomson Rd,大牌SLE,汤申路上段
56089,Aft SLE,Upp Thomson Rd,大牌SLE,汤申路上段
56081,Bef SLE,Upp Thomson Rd,大牌SLE,汤申路上段
41151,Aft SICC,Lornie Rd,大牌SICC,罗尼路
29109,Opp PPL Shipyard,Pandan Rd,大牌Shipyard对面,班丹路
29101,PPL Shipyard,Pandan Rd,大牌Shipyard,班丹路
53209,Semac,Sin Ming Dr,大牌Semac,新民通道
97181,Seamap,Changi Nth Cres,大牌Seamap,樟宜北弯
46741,Seagate,Gambas Ave,大牌Seagate,甘巴士道
47629,Seagate,Woodlands Ave 7,大牌Seagate,兀兰7道
29019,Sanmina-SCI,Penjuru Rd,大牌SCI,本茱鲁路
70191,MacPherson Sec Sch,Circuit Rd,大牌Sch对面,循环路
17191,NUS High Sch ,Clementi Rd,大牌Sch对面,金文泰路
14211,ISS Intl Sch,Depot Rd,大牌Sch对面,德普路
81191,Opp NorthLight Sch ,Dunman Rd,大牌Sch对面,杜尼安路
70241,MacPherson Pr Sch,Mattar Rd,大牌Sch对面,玛达路
50119,St. Michael's Sch,Moulmein Rd,大牌Sch对面,摩绵路
64161,Schenker,Tampines Rd,大牌Schenker,淡滨尼路
96231,DB Schenker,Xilin Ave,大牌Schenker,西林道
40081,Opp SCGS,Bt Timah Rd,大牌SCGS,武吉知马路
18309,Blk S17,Lower Kent Ridge Rd,大牌S17,肯特岗路下段
18311,Blk S12,Lower Kent Ridge Rd,大牌S12,肯特岗路下段
24571,Nypro (S),Joo Koon Circle,大牌S),裕群圈
46341,Rosewood,Woodlands Ave 1,大牌Rosewood,兀兰1道
6069,Aft Furama RiverFront,Outram Rd,大牌RiverFront对面,欧南路
51079,Opp MacRitchie Reservoir,Thomson Rd,大牌Reservoir对面,汤申路
64499,Regentville,Hougang Ave 9,大牌Regentville,后港9道
21559,CISCO Recall,Yung Ho Rd,大牌Recall,永和路
95109,Changi Airport PTB3,PTB3 Basement,大牌PTB3对面,？
95129,Changi Airport PTB2,PTB2 Basement,大牌PTB2对面,？
95029,Changi Airport PTB1,PTB1 Basement,大牌PTB1对面,？
97059,Changi Women's Prison,Upp Changi Rd Nth,大牌Prison对面,樟宜路北上段
96331,Premier,Changi Sth Ave 2,大牌Premier,樟宜南2道
20201,Teban Gdn PO,Teban Gdns Rd,大牌PO对面,德曼花园路
92169,Bef Katong PO,Tg Katong Rd,大牌PO对面,丹戎加东路
92161,Aft Katong PO,Tg Katong Rd,大牌PO对面,丹戎加东路
60161,St. Michael's Pl,S'goon Rd,大牌Pl对面,实龙岗路
46691,Opp 888 Plaza,Woodlands Ave 4,大牌Plaza对面,兀兰4道
46399,Aft 888 Plaza,Woodlands Ave 7,大牌Plaza对面,兀兰7道
46679,Opp 888 Plaza,Woodlands Dr 50,大牌Plaza对面,兀兰50通道
46671,Bef 888 Plaza,Woodlands Dr 50,大牌Plaza对面,兀兰50通道
46699,888 Plaza,Woodlands Ave 4,大牌Plaza,兀兰4道
22031,XBET Pioneer,Jln Ahmad Ibrahim,大牌Pioneer,惹兰阿末依布拉欣
56049,Meadows @ Peirce,Upp Thomson Rd,大牌Peirce对面,汤申路上段
18079,Opp NUH,Buona Vista Flyover,大牌NUH,波那维斯达立交？
18239,Opp NUH,Lower Kent Ridge Rd,大牌NUH,肯特岗路下段
52099,Opp NKF,Kim Keat Rd,大牌NKF,金吉路
23091,Nippon,Lok Yang Way,大牌Nippon,洛阳大道
22089,Natsteel                                                                                            ,Tg Kling Rd,大牌Natsteel,丹戎吉宁路
16161,Museum,Kent Ridge Cres,大牌Museum,肯特岗湾
26409,Multico,Tuas Sth Ave 3,大牌Multico,大士南3道
26201,Opp MSD,Tuas West Dr,大牌MSD,大士西通道
63139,Aft En-Naeem Mque,Tampines Rd,大牌Mque对面,淡滨尼路
10181,Bef Al-Rabitah Mque,Tiong Bahru Rd,大牌Mque对面,忠？鲁路
55049,Motorola,Yio Chu Kang Rd,大牌Motorola,杨厝港路
12179,Montview,Mt Sinai Rise,大牌Montview,西乃山坡
23481,Molex,Intl Rd,大牌Molex,国际路
25519,Michelman,Tuas Ave 12,大牌Michelman,大士12道
25101,Opp SMC Mfg,Tuas Ave 1,大牌Mfg对面,大士1道
25109,SMC Mfg,Tuas Ave 1,大牌Mfg,大士1道
66409,Melrose,S'goon Ave 3,大牌Melrose,实龙岗3道
23389,PEC Ltd,Shipyard Rd,大牌Ltd,船厂路
29049,LTH Logistics,Tg Penjuru,大牌Logistics,丹戎本莱鲁
78251,Lighthouse,Jln Loyang Besar,大牌Lighthouse,惹兰罗央勿刹
27051,NIE Lib,Nanyang Cres,大牌Lib,南洋弯
24259,DNV GL Laboratory,Gul Circle,大牌Laboratory对面,卡尔圈
64139,Bef KPE,Tampines Rd,大牌KPE,淡滨尼路
64131,Bef KPE,Tampines Rd,大牌KPE,淡滨尼路
43639,Opp YWMA Kindergarten,Old Jurong Rd,大牌Kindergarten对面,旧裕廊路
43631,YWMA Kindergarten,Old Jurong Rd,大牌Kindergarten,旧裕廊路
70361,Kenwood,Genting Lane,大牌Kenwood,仁定巷
92189,Opp 112 Katong,Joo Chiat Rd,大牌Katong对面,如切路
92181,112 Katong,Joo Chiat Rd,大牌Katong,如切路
22271,Jebsen & Jessen,Soon Lee Rd,大牌Jessen对面,顺利路
41051,Hwa Chong JC,Bt Timah Rd,大牌JC对面,武吉知马路
41071,Opp Natl JC,Bt Timah Rd,大牌JC对面,武吉知马路
93189,Opp Victoria JC,East Coast Pk Svc Rd,大牌JC对面,东海岸公园副路
51091,Opp Catholic JC,PIE,大牌JC对面,泛岛高速
76239,Opp Tampines JC ,Tampines Ave 7,大牌JC对面,淡滨尼7道
76311,Opp Tampines JC,Tampines Ave 9,大牌JC对面,淡滨尼9道
63059,Opp S'goon JC,Upp S'goon Rd,大牌JC对面,实龙岗路上段
46229,Opp Innova JC,Woodlands Ave 2,大牌JC对面,兀兰2道
58439,Innova JC,Champions Way,大牌JC,冠军大道
21169,Jurong JC,Corporation Rd,大牌JC,企业路
41079,Natl JC,Dunearn Rd,大牌JC,杜尼安路
77231,Meridian JC,Pasir Ris Dr 1,大牌JC,巴西立通道1
77169,Meridian JC,Pasir Ris Dr 10,大牌JC,巴西立通道10
66391,Nanyang JC,S'goon Ave 3,大牌JC,实龙岗3道
76231,Tampines JC ,Tampines Ave 7,大牌JC,淡滨尼7道
76319,Tampines JC,Tampines Ave 9,大牌JC,淡滨尼9道
63051,S'goon JC,Upp S'goon Rd,大牌JC,实龙岗路上段
51099,Catholic JC,Whitley Rd,大牌JC,惠德里路
46221,Innova JC,Woodlands Ave 2,大牌JC,兀兰2道
59319,Yishun JC,Yishun Ring Rd,大牌JC,义顺环路
76149,Opp Tampines Stn/Int,Tampines Ave 4,大牌Int对面,淡滨尼4道
13071,Opp ERC Inst,River Valley Rd,大牌Inst对面,里？？利路
13079,Aft ERC Inst,River Valley Rd,大牌Inst对面,里？？利路
23079,SAFTI Military Inst,Upp Jurong Rd,大牌Inst对面,裕廊路上段
40249,St. Joseph's Inst,Whitley Rd,大牌Inst对面,惠德里路
42099,Southaven II,Upp Bt Timah Rd,大牌II,武吉知马路上段
42119,Southaven II,Upp Bt Timah Rd,大牌II,武吉知马路上段
96321,DBS Asia Hub,Changi Sth Ave 2,大牌Hub对面,樟宜南2道
23131,MES Logistic Hub,Sixth Lok Yang Rd,大牌Hub对面,第6洛阳路
55031,Opp NCS Hub,Yio Chu Kang Rd,大牌Hub对面,杨厝港路
55039,NCS Hub,Yio Chu Kang Rd,大牌Hub,杨厝港路
12099,Opp SIM HQ ,Clementi Rd,大牌HQ对面,金文泰路
21381,St. Joseph's Home,Jurong West Ave 2,大牌Home对面,裕廊西2道
53011,St. Theresa's Home,Upp Thomson Rd,大牌Home对面,汤申路上段
22151,Hitachi,Pioneer Rd,大牌Hitachi,先驱路
43251,Hillbrooks,Hillview Ave,大牌Hillbrooks,山景道
43309,Hillbrooks,Jln Batu Nilam,大牌Hillbrooks,惹兰？株尼蓝
16169,NUS Raffles Hall,Kent Ridge Cres,大牌Hall对面,肯特岗湾
55361,Countryside Gdn P/G,Lentor Loop,大牌G对面,伦多环道
17419,Sunset Way P/G,Sunset Way,大牌G对面,斜阳大道
96069,Mera Terr P/G,Upp Changi Rd East,大牌G对面,樟宜路东上段
92149,St. Patrick's Green,East Coast Rd,大牌Green对面,东海岸路
22021,Givaudan,Jln Ahmad Ibrahim,大牌Givaudan,惹兰阿末依布拉欣
16121,Galen,Science Pk Rd,大牌Galen,科学园路
80179,Opp CP F,Stadium Cres,大牌F对面,体育场弯
11019,Opp OG Fty,Jln Bt Merah,大牌Fty对面,惹兰红山
96239,CEVA Freight,Xilin Ave,大牌Freight,西林道
47621,Flextronics,Woodlands Ave 7,大牌Flextronics,兀兰7道
85079,Flextronic,Upp Changi Rd,大牌Flextronic,樟宜路上段
40039,Opp Newton FC,Bt Timah Rd,大牌FC对面,武吉知马路
70221,Blk 79 FC,Circuit Rd,大牌FC对面,循环路
82029,Blk 14 Mkt/FC,Geylang Rd,大牌FC对面,芽笼路
63281,Blk 105 Mkt/FC,Hougang Ave 1,大牌FC对面,后港1道
