00481,BT PANJANG TEMP BUS PK
04329,Opp Shell HSE, Shell Hse对面
04331,BEF FORT CANNING STN, Liang Ct
04339,FORT CANNING STN EXIT B, Liang Ct对面
05009,Opp OCBC Ctr, 大牌Ctr对面
05012,Pearl's Ctr, Pearl's Ctr
05013,People's Pk Cplx, 大牌Cplx对面
05019,Opp Pearl's Ctr, 大牌Ctr对面
05022,People's Pk Ctr, 大牌Ctr对面
05023,Opp Hong Lim Pk, Opp Hong Lim Pk
05029,Boat Quay, Boat Quay
05039,New Bridge Ctr, Bridge Ctr对面
05049,Chinatown Pt, Chinatown Pt
05059,Hong Lim Pk, Lim Pk对面
05069,Outram Pk Stn Exit H, Pk Stn对面
05129,Hong Lim Pk, Lim Pk对面
05131,Opp Hong Lim Cplx, Opp Hong Lim Cplx
05189,Opp Sri Mariamman Tp, Opp Sri Mariamman Tp
05199,Opp Hong Lim Cplx, Opp Hong Lim Cplx
05239,Bef The Pinnacle@Duxton, 大牌Duxton对面
05241,Opp Blk 333, 大牌333对面
05259,Aft Kreta Ayer Rd, 义顺2道之后
05269,Maxwell Rd FC, 大牌FC对面
05271,Opp Fairfield Meth Ch, Opp Fairfield Meth Ch
05319,OCBC Ctr, 大牌Ctr
05411,Tg Pagar Plaza, Pagar Plaza对面
05419,The Amara, The Amara
05421,Aft Craig Rd, Craig Rd对面
05429,Bef Craig Rd, Wallich St对面
05519,Opp Maritime Hse, Maritime Hse对面
05521,Maritime Hse, Maritime Hse
05629,Opp Southpoint, South Pt对面
05631,Blk 16, 大牌16
05641,Customs Port Br HQ, Customs Port Br HQ
05649,Opp Customs Port Br HQ, Customs Port Br HQ对面
05651,Opp Fuji Xerox Twrs, Opp Fuji Xerox Twrs
06011,Opp Outram Pk Stn, Opp Outram Pk Stn
06029,Outram Pk Stn, Pk Stn对面
06031,Opp Blk 13, 大牌13对面
06039,Blk 8, 大牌8
06049,BEF OUTRAM FLYOVER, House Pre-Sch对面
06051,Blk 55, 大牌55
06069,Aft Furama RiverFront, 大牌RiverFront对面
06071,Blk 2B, 大牌2B
06081,Blk 94, 大牌94
06129,Grand Copthorne Hotel, Copthorne Hotel对面
06131,The Boys' Brigade HQ, The Boys' Brigade HQ
06141,Holiday Inn Atrium, Inn Atrium对面
06149,Opp Holiday Inn Atrium, Opp Holiday Inn Atrium
06151,Hotel Miramar, Hotel Miramar
06159,Opp Hotel Miramar, View Hotel对面
06161,Blk 2, 大牌2
06169,River Pl Condo, Pl Condo对面
06171,Opp State Ct, Subordinate Ct对面
06189,Ctrl Sq, Ctrl Sq
07011,Peace Ctr, Peace Ctr
07021,Selegie Ctr, Selegie Ctr
07031,Tekka Ctr, Tekka Ctr
07111,Broadway Hotel, Broadway Hotel
07211,Sri Srinivasa Perumal Tp, Sri Srinivasa Perumal Tp
07221,Sri Vadapathira K Tp, Sri Vadapathira K Tp
07231,Bef Tai Hoe Hotel, Bef Tai Hoe Hotel
07241,Bef S'Goon Rd, P Tamil Lang Ctr对面
07249,Aft Kempas Rd, Umar P Tamil Lang Ctr对面
07319,Aft Allenby Rd, Allenby Rd对面
07329,Hoa Nam Bldg, Nam Bldg对面
07331,Aft King George's Ave, 义顺2道之后
07351,ARC 380, Eminent Plaza
07359,OPP ARC 380, Eminent Plaza对面
07361,Bef Kallang Bahru, Kallang Bahru对面
07369,Aft Kallang Bahru, Kallang Bahru对面
07371,Aft Kallang Rd, Kallang Rd对面
07379,Bef Kallang Rd, Kallang Rd对面
07419,Opp Veerasamy Rd, Veerasamy Rd对面
07517,IBIS S'PORE ON BENCOOLEN, Burlington Sq对面
07518,OPP NAFA CAMPUS 3, Fortune中心
07529,JLN BESAR STN EXIT A, Bef Sim Lim Twr
07531,Rochor Stn, Sim Lim之后
07539,Opp Rochor Stn, The Verge
07551,Fu Lu Shou Cplx, Fu Lu Shou Cplx
07561,Bef Waterloo St, Midlink Plaza对面
07569,Aft Waterloo St, Midlink Plaza
07571,SUNSHINE PLAZA, Prime Ctr对面
07589,Opp Rochor Ctr, Rochor Ctr对面
08011,Opp Haw Par Glass Twr, Haw Par Glass Twr对面
08019,Aft Haw Par Glass Twr, Haw Par Glass Twr对面
08031,Dhoby Ghaut Stn, Ghaut Stn对面
08041,YMCA, YMCA
08057,Dhoby Ghaut Stn, Ghaut Stn对面
08058,Aft Dhoby Ghaut Stn, MacDonald Hse
08069,BENCOOLEN STN EXIT B, 新加坡酒店Rendezvous
08079,Sch of the Arts, Sch of The Arts
08111,Winsland Hse, Winsland Hse
08121,Somerset Stn, Somerset Stn
08137,Orchard Plaza, Orchard Plaza
08138,Concorde Hotel S'pore, Hotel S'pore对面
09011,Opp Ngee Ann City, Opp Ngee Ann City
09022,Bef Orchard Stn Exit B, Orchard Stn对面
09023,Opp Orchard Stn/ION, Orchard Stn
09037,Opp Mandarin Orchard, Mandarin Orchard对面
09038,Opp Somerset Stn, Midpoint Orchard
09047,Orchard Stn/Tang Plaza, Tang Plaza
09048,Orchard Stn/Lucky Plaza, Lucky Plaza
09059,Natl Youth Council, Youth Council对面
09111,Opp Four Seasons Hotel, Opp Four Seasons Hotel
09121,Bef Tomlinson Rd, Tomlinson Rd对面
09131,Grange Residences, Grange Residences
09139,Aft Cuscaden Rd, Cuscaden Rd对面
09141,British Council, British Council
09149,Opp British Council, British Council对面
09159,Aft Tomlinson Rd, Tomlinson Rd对面
09169,Delfi Orchard, Delfi Orchard
09179,Royal Thai Embassy, Thai Embassy对面
09191,The Regent S'pore, Regent S'pore对面
09212,Royal Plaza On Scotts, Royal Plaza On Scotts
09213,Thong Teck Bldg, Teck Bldg对面
09219,Far East Plaza, East Plaza对面
10009,Bt Merah Int, Merah Int对面
10011,BEF NEIL RD, New Bridge Rd Ter对面
10017,Aft Hosp Dr, Hosp Dr对面
10018,Outram Pk Stn Exit F/SGH, Outram Rd对面
10021,Blk 3, 大牌3
10041,BEF KAMPONG BAHRU TER, Blair Rd对面
10049,OPP KAMPONG BAHRU TER, Jln Bt之后
10051,Blk 149, 大牌149
10059,Opp Blk 149, 大牌149对面
10061,Blk 140, 大牌140
10069,Opp Blk 140, 大牌140对面
10071,Blk 111, 大牌111
10079,Blk 201, 大牌201
10081,Opp Blk 120, 大牌120对面
10089,Blk 119, 大牌119
10091,Bt Merah Town Ctr, Bt Merah Town Ctr
10099,Opp Bt Merah Town Ctr, Bt Merah Town Ctr对面
10101,OPP BT MERAH SEC SCH, 大牌Bldg对面
10109,BT MERAH SEC SCH, Opp SPRING S'pore Bldg
10111,Opp Blk 28, 大牌28对面
10119,Opp Pacific Tech Ctr, Opp Pacific Tech Ctr
10121,Blk 126 CP, 大牌CP对面
10129,Blk 121, 大牌121
10131,Opp Blk 2, 大牌2对面
10139,Blk 1, 大牌1
10141,Blk 18, 大牌18
10149,Blk 1, 大牌1
10151,Ctrl Green Condo, Green Condo对面
10161,Opp Tiong Bahru Plaza, Opp Tiong Bahru Plaza
10169,Tiong Bahru Plaza, Bahru Plaza对面
10171,Opp Tiong Bahru Pk, Henderson Pk
10179,Tiong Bahru Pk, Bahru Pk对面
10181,BEF AR-RABITAH MQUE, 大牌Mque对面
10189,Blk 104A CP, 大牌CP对面
10191,Blk 78, 大牌78
10199,Delta Swim Cplx, Swim Cplx对面
10201,Opp Redhill Stn, Redhill Stn对面
10209,Redhill Stn, Redhill Stn
10211,Porsche Ctr S'pore, Ctr S'pore对面
10219,Opp Motor Image, Motor Image对面
10221,Ganges Ctr, Ganges Ctr
10229,Opp Harvest Mans, Harvest Mans对面
10231,Blk 51 CP, 大牌79对面
10239,Blk 79, 大牌79
10241,Gan Eng Seng Sec Sch, Gan Eng Seng中学
10249,Opp Gan Eng Seng Sec Sch, Gan Eng Seng中学对面
10261,Delta Sports Hall, Delta 运动中心
10269,Opp Delta Sports Hall, Delta运动中心对面
10271,Opp Tanglin View, Tanglin View对面
10279,Tanglin View, Tanglin View
10281,SIS Bldg, SIS Bldg
10289,Opp SIS Bldg, SIS Bldg对面
10291,Bef Dawson Rd, SM Motors中心之前
10299,Aft Dawson Rd, SM Motors 中心对面
10321,Aft Margaret Dr, Margaret Dr对面
10329,Crescent Girls' Sch, Girls' Sch对面
10331,Bef Bt Merah Ctrl, Bef Bt Merah Ctrl
10339,Aft Bt Merah Ctrl, 义顺2道之后
10341,Opp Blk 116, Sec Sch对面
10349,Blk 116, 大牌116
10351,Bef Tiong Bahru Rd, 大牌96
10359,Aft Tiong Bahru Rd, 大牌113对面
10361,Cendex Ctr, Cendex Ctr
10369,Opp Cendex Ctr, Cendex Ctr对面
10371,Blk 129, 大牌129
10379,Blk 25B, 大牌25B
10381,Opp Blk 48, 大牌48对面
10389,Blk 48, 大牌48
10391,Opp Melati Blk 2, Opp Melati Blk 2
10399,Melati Blk 2, 大牌2对面
10401,Shriro Hse, Shriro Hse
10409,Blk 50, 大牌50
10411,Opp Blk 53, 大牌53对面
10419,Blk 52, 大牌52
10421,Blk 63B, 大牌63B
10429,Blk 54, 大牌54
10431,Opp Blk 55, Merah Skills Dev Ctr对面
10439,Blk 55, 大牌55
10441,Opp Blk 44, 大牌44对面
10449,Blk 44, 大牌44
10451,Opp Blk 71, 大牌71对面
10459,Blk 72, 大牌72
10461,Aft Margaret Dr, Margaret Dr对面
10469,Bef Margaret Dr, Margaret Dr对面
10471,Bef Tanglin Rd, Tanglin Rd对面
10479,Aft Tanglin Rd, Tanglin Rd对面
10481,Opp Blk 73, 大牌73对面
10489,Blk 73, 大牌73
10499,KAMPONG BAHRU TER
10501,Blk 104, 大牌104
10519,Blk 4, 大牌4
10599,Opp Blk 36, 大牌36对面
10651,Blk 161, 大牌161
10659,Blk 1003, 大牌1003
11009,Ghim Moh Ter, Moh Ter对面
11019,Opp OG Fty, 大牌Fty对面
11021,Aft Queenstown NPC HQ, 
11029,Blk 166, 大牌166
11031,Opp Queen's Cl, 大牌Cl对面
11039,Blk 19, 大牌19
11041,Aft C'wealth Dr, C'wealth Dr对面
11049,Opp Blessed Sacrament Ch, Opp Blessed Sacrament Ch
11051,Opp Queenstown Polyclinic, Queenstown Polyclinic对面
11059,Queenstown Polyclinic, Queenstown Polyclinic
11061,Opp Queensway Sec Sch, Opp Queensway Sec Sch
11069,Queensway Sec Sch, Sec Sch对面
11071,Blk 97, 大牌97
11079,Opp Blk 95, 大牌95对面
11081,Viz Holland, Viz Holland
11089,Opp Holland Hill Lodge, Opp Holland Hill Lodge
11091,Tulip Gdn, Tulip Gdn
11099,Opp Tulip Gdn, Tulip Gdn对面
11101,Farrer Rd Mkt, Rd Mkt对面
11109,Spanish Village, Spanish Village
11111,Farrer Rd Stn Exit B, Rd Stn对面
11119,Farrer Rd Stn Exit A, Opp Farrer Rd Stn
11131,Queens Condo, Queens Condo
11139,Blk 53A CP, 大牌CP对面
11141,Queenstown Stn Exit A/D, Queenstown Stn
11149,Queenstown Stn Exit B/C, Queenstown Stn
11151,Blk 42, 大牌42
11159,Aft Ch Of Our Saviour, Ch of Our Saviour对面
11161,C'Wealth Stn Exit A/D, C'wealth Stn
11169,C'Wealth Stn Exit B/C, C'wealth Stn
11171,Opp Blk 7B, 大牌7B对面
11179,Blk 8, 大牌8
11181,Opp Blk 43, 大牌43对面
11189,Blk 43, 大牌43
11191,Buona Vista Stn, Vista Stn对面
11199,Blk 15, 大牌15
11201,CSC Dempsey Clubhse, 大牌Clubhse对面
11209,Opp Peirce Rd, Peirce Rd对面
11211,Aft Peirce Rd, Peirce Rd对面
11219,Great Eastern Mans, Eastern Mans对面
11221,Lien Twrs, Lien Twrs
11229,Les Jardins De Holland, Les Jardins de Holland
11231,Aft Estoril Mans, Estoril Mans对面
11239,Fairlodge, 大牌Fairlodge
11259,Opp Blk 21, 大牌21对面
11261,Holland Village, Holland Village
11269,Opp Holland Village, Holland Village对面
11271,Aft East Sussex Lane, 义顺2道之后
11279,Aft Coronation Rd West, 义顺2道之后
11281,Aft Tan Boon Chong Ave, Tan Boon Chong Ave对面
11289,Opp Tan Boon Chong Ave, Tan Boon Chong Ave对面
11291,Cold Storage Jelita, Storage Jelita对面
11299,Opp Cold Storage Jelita, Opp Cold Storage Jelita
11301,Hse No. 578, 大牌578对面
11309,Hse No. 589, 大牌589对面
11311,Hse No. 532, 大牌532对面
11319,Opp Hse No. 516, Opp Hse No. 516
11321,Opp Regent Villa, Regent Villa对面
11329,Regent Villa, Regent Villa
11331,Opp Dynasty Gdn II, Opp Dynasty Gdn II
11339,Dynasty Lodge, Dynasty Lodge
11341,Garlick Ville, Garlick Ville
11349,Opp Garlick Ville, Garlick Ville对面
11351,Blk 13, 大牌13
11359,Opp Blk 13, 大牌12
11361,Buona Vista Stn Exit C, Vista Stn对面
11369,Buona Vista Stn Exit D, Opp Buona Vista Stn
11379,Buona Vista Ter, Vista Ter对面
11381,Blk 10A, 大牌10A
11389,Blk 46, 大牌46
11401,Holland V Stn Exit C, 大牌12
11409,Blk 9, 大牌9
11419,Holland V Stn Exit A, Village Stn对面
11429,Opp Blk 115B, 大牌115B对面
11439,Blk 92, 大牌92
11441,Blk 58, 大牌58
11449,Blk 37B, 大牌37B
11451,Blk 72, 大牌72
11459,Blk 50, 大牌50
11469,Queensway Sec Sch, Sec Sch对面
11471,Opp The Fisherman Ch, Opp The Fisherman Ch
11479,The Fisherman Ch, Fisherman Ch对面
11481,Queenstown Lib, Queenstown Lib
11489,Opp Queenstown Lib, Queenstown Lib对面
11491,Opp Queenstown Pr Sch, Opp Queenstown Pr Sch
11499,Queenstown Pr Sch, Pr Sch对面
11511,Alexandra Hosp, 亚历山大医院
11519,Opp Queensway Shop Ctr, 女皇路商场对面
11521,Anchorpoint, Anchorpoint
11529,Bef IKEA Ind Bldg, 宜家Ind Bldg之前
11531,Opp Lea Hin Hardware Fty, Lea Hin Hardware Fty对面
11539,Lea Hin Hardware Fty, Lea Hin Hardware Fty
11541,Opp Queens, Opp Queens
11551,Tiong Ghee Tp, Ghee Tp对面
11561,Blk 166, 大牌166
11579,Blk 158, 大牌158
11589,Blk 157, 大牌157
11599,Blk 153, 大牌153
11609,Blk 163, 大牌163
12021,Bef Moonbeam Wk, Moonbeam Walk对面
12029,Opp Moonbeam Wk, Moonbeam Walk对面
12031,Pandan Valley Condo, Valley Condo对面
12039,Opp Pandan Valley Condo, Opp Pandan Valley Condo
12041,Aft Pandan Valley, Pandan Valley对面
12049,Opp Pandan Valley, Pandan Valley对面
12051,Pine Gr Condo, Gr Condo对面
12059,Opp Pine Gr Condo, Opp Pine Gr Condo
12061,Blk 109, 大牌109
12069,Opp Blk 109A, 大牌109A对面
12071,Blk 116, 大牌116
12079,Opp Blk 116, 大牌116对面
12081,Maju Camp, Maju Camp
12089,Opp Maju Camp, Maju Camp对面
12091,SIM HQ, SIM HQ
12099,Opp SIM HQ, 大牌HQ对面
12101,Ngee Ann Poly, Ann Poly对面
12109,Opp Ngee Ann Poly, Opp Ngee Ann Poly
12111,Bef Clementi Rd, Clementi Rd对面
12119,Police KINS Trg Camp, Police KINS Trg Camp
12121,Blk 7, 大牌7
12129,Blk 3, 大牌3
12131,Aft Grove Ave, Grove Rd对面
12139,Aft Mt Sinai Lane, Mt Sinai之后
12141,Opp Henry Pk, Opp Henry Pk Apts
12149,Henry Pk, Pk Apts对面
12151,Bef Moonbeam Terr, Evian Condo
12169,Pandan Valley, Pandan Valley
12179,Montview, 大牌Montview
12189,Bef Mt Sinai Dr, Bef Mt Sinai Dr
12199,Opp Village Twr, Village Twr对面
12201,Logishub @ Clementi, LogisHub @ Clementi
12209,Opp Logishub @ Clementi, LogisHub @金文泰
12211,Bef Mt Sinai Wk, Hse之后
13011,Opp S'pore Botanic Gdns, Opp S'pore Botanic Gdns
13019,S'pore Botanic Gdns, Botanic Gdns对面
13021,Aft Min Of Foreign Affairs, Min of Foreign Affairs对面
13029,Bef Tyersall Ave, Tyersall Ave对面
13031,Opp Chatsworth Rd, Chatsworth Rd对面
13039,Bef Chatsworth Rd, Chatsworth Rd对面
13041,Aft Rochalie Dr, Rochalie Dr对面
13049,Bef Rochalie Dr, Rochalie Dr对面
13051,Opp Valley Pt, Opp Valley Pt Condo
13059,Valley Pt, Pt Condo对面
13062,STELLAR RV, Mutiara View
13063,RV SUITES, Mutiara Crest
13069,RV RESIDENCES, Pk Condo对面
13071,Opp ERC Inst, 大牌Inst对面
13079,Aft ERC Inst, 大牌Inst对面
13081,St. Thomas Wk, Airview Twr
13089,Opp St. Thomas Wk, The Morningside
13091,AFT KIM YAM RD, 大牌Ctr对面
13099,BEF KIM YAM RD, 大牌Ctr对面
13101,Opp Mohd Sultan Rd, Opp Mohd Sultan Rd
13109,UE Sq, 大牌Sq
13119,Opp Great World City, Opp Great World City
13121,Opp Great World City, Opp Great World City
13139,The Trillium, The Trillium
13141,Aft Zion Full Gospel Ch, Zion Full Gospel Ch对面
13159,Bef Zion Full Gospel Ch, Zion Full Gospel Ch对面
13169,Grange 80 Condo, 大牌Condo对面
13171,Gramercy Pk, Lucky Twr
13179,Cliveden At Grange, Lucky Twr对面
13181,Aft One Tree Hill, 义顺2道之后
13189,Bef One Tree Hill, Bef One Tree Hill
13191,Bef Orchard Blvd, Paterson Lodge
13199,Aft Orchard Blvd, Paterson Lodge对面
13201,British High Comm, High Comm对面
13209,Opp British High Comm, Opp British High Comm
13211,Aft Unity St, Unity St对面
14009,HarbourFront Int, HarbourFront Int
14011,Bef Mt Faber Lodge, Bef Mt Faber Lodge
14019,Opp Mt Faber Lodge, Opp Mt Faber Lodge
14021,The Pearl @ Mt Faber, Mas Mque对面
14029,Blk 105, 大牌105
14031,St. Theresa's Convent, 大牌Convent对面
14039,Opp St. Theresa's Convent, Opp St. Theresa's Convent
14041,Blk 54, 大牌54
14049,Opp Blk 55, 大牌55对面
14051,Aft Telok Blangah Hts, 义顺2道之后
14059,Bef Telok Blangah Hts, Bef Telok Blangah Hts
14061,Opp Former Railway Stn, Opp Former Railway Stn
14069,Former Railway Stn, Railway Stn对面
14071,Keppel Workshop, Keppel Workshop
14081,Tg Pagar DP Blk F5, Pagar DP Blk F5对面
14089,Opp Tg Pagar DP Blk F5, Tg Pagar DP Blk F5对面
14101,Opp Keppel DP Blk 517, Keppel DP Blk 517对面
14109,Keppel DP Blk 517, Keppel DP Blk 517
14119,Opp VivoCity, Opp VivoCity
14121,Harbourfront Stn Exit B, HarbourFront Stn
14129,Harbourfront Stn Exit A, HarbourFront Stn
14131,Caribbean at Keppel Bay, Caribbean at Keppel Bay
14139,Bef Seah Im Rd, Bef Seah Im Rd
14141,VivoCity, VivoCity
14151,Opp Chr Community Chapel, Opp Chr Community Chapel
14159,Bef Chr Community Chapel, Bef Chr Community Chapel
14161,Telok Blangah Stn, Blangah Stn对面
14169,Opp Telok Blangah Stn, Opp Telok Blangah Stn
14171,Opp Yeo's Bldg, 大牌Bldg对面
14179,Yeo's Bldg, Yeo's Bldg
14189,Aft Alexandra Rd, Alexandra Rd对面
14191,Blk 105 CP, 大牌104B
14199,Blk 118, 大牌118
14201,Blk 110, 大牌109B
14209,Aft Hewlett Packard, Hewlett Packard对面
14211,ISS Intl Sch, 大牌Sch对面
14219,Opp Blk 114, 大牌114对面
14221,Opp St. Teresa's Ch, Opp St. Teresa's Ch
14229,St. Teresa's Ch, 大牌Ch对面
14231,Keppel DP Blk 519, Keppel DP Blk 519
14239,Opp Keppel DP Blk 519, Keppel DP Blk 519对面
14241,Opp Blk 1, 大牌1对面
14249,Blk 1, 大牌1
14259,Blk 11, 大牌11
14269,Blk 10, 大牌10
14271,Al-Amin Mque, Amin Mque对面
14279,Blk 25, 大牌25
14281,Opp Blk 11, 大牌11对面
14291,Blk 27, 大牌27
14299,Opp Blk 27, 大牌27对面
14309,Blk 41, 大牌41
14319,Blk 28, 大牌28
14329,Blk 67, 大牌67
14331,Aft Telok Blangah St 32, Telok Blangah St 32对面
14339,Bef Telok Blangah St 32, Telok Blangah St 32对面
14341,Opp Blk 59, 大牌59对面
14349,Blk 59, 大牌59
14351,Aft Blk 48, 大牌48对面
14359,Blk 50, 大牌50
14369,The Interlace, The Interlace
14379,Blk 40, 大牌40
14381,Blk 109, 大牌109
14389,Opp Blk 109, 大牌109对面
14391,Opp Blk 85, 大牌85对面
14399,Blk 85, 大牌85
14471,Blk 114, 大牌114
14489,Blk 36 Mkt/FC, 大牌FC对面
14491,Opp Telok Blangah Mkt/FC, Telok Blangah Mkt之后
14499,Telok Blangah Mkt/FC, Telok Blangah Mkt/FC
14501,OPP BLK 91A
14509,BLK 92B
14519,Resorts World Sentosa, World Sentosa对面
14521,Merlion Plaza
14529,Opp Merlion Plaza
14539,Beach Station Bus Terminal
15041,Aft PSA Bldg, NOL Bldg
15049,Bef PSA Bldg, NOL Bldg对面
15051,Alexandra Pt, 亚厉山Pt
15059,Opp Alexandra Pt, 亚历山Pt对面
15071,Opp Lor Sarhad, Vista Gdns对面
15079,Aft Lor Sarhad, Lor Sarhad对面
15091,Opp Natl Leadership Inst, Opp Natl Leadership Inst
15099,Natl Leadership Inst, Leadership Inst对面
15101,Opp LP 31, 大牌31对面
15109,LP 30, LP 30
15111,Sci Pk 2/The Galen, LP 37
15119,Opp Sci Pk 2/The Galen, LP 36
15121,Sci Pk 2/The Gemini, LP 49
15129,Opp Sci Pk 2/The Gemini, 大牌48对面
15131,Kent Ridge Stn, Ridge Stn对面
15139,Kent Ridge Stn Exit B, Opp Kent Ridge Stn
15141,Labrador Pk Stn, 大牌Bldg对面
15149,Labrador Pk Stn/PSA Bldg, 大牌Bldg
15151,Bayanihan Ctr, Bayanihan Ctr
15159,Mapletree Business City, Business City对面
15161,Pasir Panjang Ctr, Panjang Ctr对面
15169,Harbourside Ind Bldg 2, Harbourside Ind Bldg 2
15181,PSB S'pore, 大牌S'pore
15189,DNV Technology Ctr, 大牌Ctr对面
15191,Pasir Panjang Stn/Fc, Panjang Stn对面
15199,Opp Currency Hse, Currency Hse对面
15201,Aft Pasir Panjang Stn, PSA Wharves之后
15209,Bef Pasir Panjang Stn, Opp PSA Wharves G3
15211,Opp Pasir View Pk, Opp Pasir View Pk
15219,Pasir View Pk, View Pk对面
15221,Aft Sth Buona Vista Rd, Redwood West
15229,Bef Sth Buona Vista Rd, Redwood West对面
16009,Kent Ridge Ter, Ridge Ter对面
16011,Opp Haw Par Villa Stn, Haw Par Villa Stn对面
16019,Haw Par Villa Stn, Haw Par Villa Stn
16021,Opp Gloria Man, Gloria Man对面
